Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Freddie Freeman (16631090),Freddie Freeman,16631090,1B,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,10.88
2B,Ozzie Albies (16631091),Ozzie Albies,16631091,2B,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,8.63
3B,Austin Riley (16631092),Austin Riley,16631092,3B,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,6.36
SS,Dansby Swanson (16631093),Dansby Swanson,16631093,SS,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,9.11
C,Alex Jackson (16631094),Alex Jackson,16631094,C,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,1.6
C,William Contreras (16631095),William Contreras,16631095,C,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,4
C,Travis d'Arnaud (16631096),Travis d'Arnaud,16631096,C,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,8.59
OF,Phillip Ervin (16631097),Phillip Ervin,16631097,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,2.76
OF,Ronald Acuna Jr. (16631098),Ronald Acuna Jr.,16631098,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,10.62
OF,Cristian Pache (16631099),Cristian Pache,16631099,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,3.29
OF,Ender Inciarte (16631100),Ender Inciarte,16631100,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,3.91
OF,Abraham Almonte (16631101),Abraham Almonte,16631101,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,1.71
OF,Marcell Ozuna (16631102),Marcell Ozuna,16631102,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,10.51
OF,Guillermo Heredia (16631103),Guillermo Heredia,16631103,OF,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,4.53
1B/3B,Jake Lamb (16631104),Jake Lamb,16631104,1B/3B,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,4.03
3B/SS,Johan Camargo (16631106),Johan Camargo,16631106,3B/SS,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,4.97
SP,Touki Toussaint (16631108),Touki Toussaint,16631108,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,5.42
SP,Sean Newcomb (16631109),Sean Newcomb,16631109,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,-0.16
SP,Max Fried (16631110),Max Fried,16631110,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,16.78
SP,Kyle Muller (16631111),Kyle Muller,16631111,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,0
SP,Charlie Morton (16631112),Charlie Morton,16631112,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,13.79
SP,Tyler Matzek (16631113),Tyler Matzek,16631113,P,4500,TB@ATL 03/11/2021 01:05PM ET,ATL,6.16
